databaseId,caseId/en,title,citation
csc-scc,2017scc25,R. v. Hunt,"[2017] 1 SCR 476, 2017 SCC 25 (CanLII)"
csc-scc,2017scc24,Lajeunesse (Re),"[2017] 1 SCR 473, 2017 SCC 24 (CanLII)"
csc-scc,2017scc23,Pintea v. Johns,"[2017] 1 SCR 470, 2017 SCC 23 (CanLII)"
csc-scc,2017scc22,Ostiguy v. Allie,"[2017] 1 SCR 402, 2017 SCC 22 (CanLII)"
csc-scc,2017scc21,R. v. Savard,"[2017] 1 SCR 400, 2017 SCC 21 (CanLII)"
csc-scc,2017scc19,Desjardins Financial Security Life Assurance Company v. Émond,"[2017] 1 SCR 358, 2017 SCC 19 (CanLII)"
csc-scc,2017scc20,Green v. Law Society of Manitoba,"[2017] 1 SCR 360, 2017 SCC 20 (CanLII)"
csc-scc,2017scc18,Godbout v. Pagé,"[2017] 1 SCR 283, 2017 SCC 18 (CanLII)"
csc-scc,2017scc17,R. v. Oland,"[2017] 1 SCR 250, 2017 SCC 17 (CanLII)"
csc-scc,2017scc16,R. v. S.B.,"[2017] 1 SCR 248, 2017 SCC 16 (CanLII)"
csc-scc,2017scc15,R. v. Paterson,"[2017] 1 SCR 202, 2017 SCC 15 (CanLII)"
csc-scc,2017scc14,R. v. Aitkens,"[2017] 1 SCR 199, 2017 SCC 14 (CanLII)"
csc-scc,2017scc13,R. v. Peers,"[2017] 1 SCR 196, 2017 SCC 13 (CanLII)"
csc-scc,2017scc12,R. v. Bingley,"[2017] 1 SCR 170, 2017 SCC 12 (CanLII)"
csc-scc,2017scc11,R. v. Olotu,"[2017] 1 SCR 168, 2017 SCC 11 (CanLII)"
csc-scc,2017scc10,R. v. Brown,"[2017] 1 SCR 166, 2017 SCC 10 (CanLII)"
csc-scc,2017scc9,R. v. Clifford,"[2017] 1 SCR 164, 2017 SCC 9 (CanLII)"
csc-scc,2017scc8,Nelson (City) v. Mowatt,"[2017] 1 SCR 138, 2017 SCC 8 (CanLII)"
csc-scc,2017scc7,Sabean v. Portage La Prairie Mutual Insurance Co.,"[2017] 1 SCR 121, 2017 SCC 7 (CanLII)"
csc-scc,2017scc6,B.C. Freedom of Information and Privacy Association v. British Columbia (Attorney General),"[2017] 1 SCR 93, 2017 SCC 6 (CanLII)"
csc-scc,2017scc5,R. v. Natewayes,"[2017] 1 SCR 91, 2017 SCC 5 (CanLII)"
csc-scc,2017scc4,R. v. Bédard,"[2017] 1 SCR 89, 2017 SCC 4 (CanLII)"
csc-scc,2017scc3,R. v. Clark,"[2017] 1 SCR 86, 2017 SCC 3 (CanLII)"
csc-scc,2017scc2,R. v. Awer,"[2017] 1 SCR 83, 2017 SCC 2 (CanLII)"
csc-scc,2017scc1,Ernst v. Alberta Energy Regulator,"[2017] 1 SCR 3, 2017 SCC 1 (CanLII)"
csc-scc,2016scc56,Canada (Attorney General) v. Fairmont Hotels Inc.,"[2016] 2 SCR 720, 2016 SCC 56 (CanLII)"
csc-scc,2016scc55,Jean Coutu Group (PJC) Inc. v. Canada (Attorney General),"[2016] 2 SCR 670, 2016 SCC 55 (CanLII)"
csc-scc,2016scc54,Windsor (City) v. Canadian Transit Co.,"[2016] 2 SCR 617, 2016 SCC 54 (CanLII)"
csc-scc,2016scc53,Alberta (Information and Privacy Commissioner) v. University of Calgary,"[2016] 2 SCR 555, 2016 SCC 53 (CanLII)"
csc-scc,2016scc52,Lizotte v. Aviva Insurance Company of Canada,"[2016] 2 SCR 521, 2016 SCC 52 (CanLII)"
csc-scc,2016scc51,Mennillo v. Intramodal inc.,"[2016] 2 SCR 438, 2016 SCC 51 (CanLII)"
csc-scc,2016scc50,Royal Bank of Canada v. Trang,"[2016] 2 SCR 412, 2016 SCC 50 (CanLII)"
csc-scc,2016scc49,British Columbia Teachers' Federation v. British Columbia,"[2016] 2 SCR 407, 2016 SCC 49 (CanLII)"
csc-scc,2016scc48,Benhaim v. St‑Germain,"[2016] 2 SCR 352, 2016 SCC 48 (CanLII)"
csc-scc,2016scc47,Edmonton (City) v. Edmonton East (Capilano) Shopping Centres Ltd.,"[2016] 2 SCR 293, 2016 SCC 47 (CanLII)"
csc-scc,2016scc46,R. v. Diamond,"[2016] 2 SCR 291, 2016 SCC 46 (CanLII)"
csc-scc,2016scc45,Urban Communications Inc. v. BCNET Networking Society,"[2016] 2 SCR 289, 2016 SCC 45 (CanLII)"
csc-scc,2016scc44,Morasse v. Nadeau‑Dubois,"[2016] 2 SCR 232, 2016 SCC 44 (CanLII)"
csc-scc,2016scc43,R. v. Anthony‑Cook,"[2016] 2 SCR 204, 2016 SCC 43 (CanLII)"
csc-scc,2016scc42,Endean v. British Columbia,"[2016] 2 SCR 162, 2016 SCC 42 (CanLII)"
csc-scc,2016scc41,R. v. C.K-D.,"[2016] 2 SCR 160, 2016 SCC 41 (CanLII)"
csc-scc,2016scc40,R. v. Rowson,"[2016] 2 SCR 158, 2016 SCC 40 (CanLII)"
csc-scc,2016scc39,Conférence des juges de paix magistrats du Québec v. Quebec (Attorney General),"[2016] 2 SCR 116, 2016 SCC 39 (CanLII)"
csc-scc,2016scc38,Canada (Attorney General) v. Igloo Vikski Inc.,"[2016] 2 SCR 80, 2016 SCC 38 (CanLII)"
csc-scc,2016scc37,Ledcor Construction Ltd. v. Northbridge Indemnity Insurance Co.,"[2016] 2 SCR 23, 2016 SCC 37 (CanLII)"
csc-scc,2016scc36,Musqueam Indian Band v. Musqueam Indian Band (Board of Review),"[2016] 2 SCR 3, 2016 SCC 36 (CanLII)"
csc-scc,2016scc35,Lafortune v. Financière agricole du Québec,"[2016] 1 SCR 1091, 2016 SCC 35 (CanLII)"
csc-scc,2016scc34,Ferme Vi‑Ber inc. v. Financière agricole du Québec,"[2016] 1 SCR 1032, 2016 SCC 34 (CanLII)"
csc-scc,2016scc33,R. v. Villaroman,"[2016] 1 SCR 1000, 2016 SCC 33 (CanLII)"
csc-scc,2016scc32,R. v. Cawthorne,"[2016] 1 SCR 983, 2016 SCC 32 (CanLII)"
csc-scc,2016scc31,R. v. K.R.J.,"[2016] 1 SCR 906, 2016 SCC 31 (CanLII)"
csc-scc,2016scc30,Lapointe Rosenstein Marchand Melançon LLP v. Cassels Brock & Blackwell LLP,"[2016] 1 SCR 851, 2016 SCC 30 (CanLII)"
csc-scc,2016scc29,Wilson v. Atomic Energy of Canada Ltd.,"[2016] 1 SCR 770, 2016 SCC 29 (CanLII)"
csc-scc,2016scc28,R. v. Williamson,"[2016] 1 SCR 741, 2016 SCC 28 (CanLII)"
csc-scc,2016scc27,R. v. Jordan,"[2016] 1 SCR 631, 2016 SCC 27 (CanLII)"
csc-scc,2016scc26,R. v. Vassell,"[2016] 1 SCR 625, 2016 SCC 26 (CanLII)"
csc-scc,2016scc25,British Columbia (Workers’ Compensation Appeal Tribunal) v. Fraser Health Authority,"[2016] 1 SCR 587, 2016 SCC 25 (CanLII)"
csc-scc,2016canlii37772,Stephen Patrick Burrows v. Her Majesty the Queen,2016 CanLII 37772 (SCC)
csc-scc,2016scc24,R. v. Saeed,"[2016] 1 SCR 518, 2016 SCC 24 (CanLII)"
csc-scc,2016scc23,Rogers Communications Inc. v. Châteauguay (City),"[2016] 1 SCR 467, 2016 SCC 23 (CanLII)"
csc-scc,2016scc22,R. v. D.L.W.,"[2016] 1 SCR 402, 2016 SCC 22 (CanLII)"
csc-scc,2016scc21,Canada (National Revenue) v. Thompson,"[2016] 1 SCR 381, 2016 SCC 21 (CanLII)"
csc-scc,2016scc20,Canada (Attorney General) v. Chambre des notaires du Québec,"[2016] 1 SCR 336, 2016 SCC 20 (CanLII)"
csc-scc,2016scc19,Heritage Capital Corp. v. Equitable Trust Co.,"[2016] 1 SCR 306, 2016 SCC 19 (CanLII)"
csc-scc,2016scc18,Krayzel Corp. v. Equitable Trust Co.,"[2016] 1 SCR 273, 2016 SCC 18 (CanLII)"
csc-scc,2016scc17,R. v. Laliberté,"[2016] 1 SCR 270, 2016 SCC 17 (CanLII)"
csc-scc,2016scc16,R. v. Shaoulle,"[2016] 1 SCR 268, 2016 SCC 16 (CanLII)"
csc-scc,2016scc15,World Bank Group v. Wallace,"[2016] 1 SCR 207, 2016 SCC 15 (CanLII)"
csc-scc,2016scc14,R. v. Safarzadeh‑Markhali,"[2016] 1 SCR 180, 2016 SCC 14 (CanLII)"
csc-scc,2016scc13,R. v. Lloyd,"[2016] 1 SCR 130, 2016 SCC 13 (CanLII)"
csc-scc,2016scc12,Daniels v. Canada (Indian Affairs and Northern Development),"[2016] 1 SCR 99, 2016 SCC 12 (CanLII)"
csc-scc,2016scc11,R. v. Borowiec,"[2016] 1 SCR 80, 2016 SCC 11 (CanLII)"
csc-scc,2016scc10,R. v. Knapczyk,"[2016] 1 SCR 78, 2016 SCC 10 (CanLII)"
csc-scc,2016scc8,Commission scolaire de Laval v. Syndicat de l’enseignement de la région de Laval,"[2016] 1 SCR 29, 2016 SCC 8 (CanLII)"
csc-scc,2016scc7,R. v. Newman,"[2016] 1 SCR 27, 2016 SCC 7 (CanLII)"
csc-scc,2016scc9,Brine v. Industrial Alliance Insurance and Financial Services Inc.,"[2016] 1 SCR 72, 2016 SCC 9 (CanLII)"
csc-scc,2016scc6,R. v. Gagnon,"[2016] 1 SCR 25, 2016 SCC 6 (CanLII)"
csc-scc,2016scc5,R. v. Meer,"[2016] 1 SCR 23, 2016 SCC 5 (CanLII)"
csc-scc,2016scc3,R. v. Spicer,"[2016] 1 SCR 11, 2016 SCC 3 (CanLII)"
csc-scc,2016scc2,R. v. Seruhungo,"[2016] 1 SCR 9, 2016 SCC 2 (CanLII)"
csc-scc,2016scc4,Carter v. Canada (Attorney General),"[2016] 1 SCR 13, 2016 SCC 4 (CanLII)"
csc-scc,2016scc1,Canadian Pacific Railway Co. v. Canada (Attorney General),"[2016] 1 SCR 6, 2016 SCC 1 (CanLII)"
csc-scc,2015scc65,R. v. Riesberry,"[2015] 3 SCR 1167, 2015 SCC 65 (CanLII)"
csc-scc,2015scc64,R. v. Lacasse,"[2015] 3 SCR 1089, 2015 SCC 64 (CanLII)"
csc-scc,2015scc63,R. v. McKenna,"[2015] 3 SCR 1087, 2015 SCC 63 (CanLII)"
csc-scc,2015scc62,M.M. v. United States of America,"[2015] 3 SCR 973, 2015 SCC 62 (CanLII)"
csc-scc,2015scc61,Kanthasamy v. Canada (Citizenship and Immigration),"[2015] 3 SCR 909, 2015 SCC 61 (CanLII)"
csc-scc,2015scc60,Canadian Imperial Bank of Commerce v. Green,"[2015] 3 SCR 801, 2015 SCC 60 (CanLII)"
csc-scc,2015scc59,R. v. Appulonappa,"[2015] 3 SCR 754, 2015 SCC 59 (CanLII)"
csc-scc,2015scc58,B010 v. Canada (Citizenship and Immigration),"[2015] 3 SCR 704, 2015 SCC 58 (CanLII)"
csc-scc,2015scc57,Canadian Broadcasting Corp. v. SODRAC 2003 Inc.,"[2015] 3 SCR 615, 2015 SCC 57 (CanLII)"
csc-scc,2015scc56,Caron v. Alberta,"[2015] 3 SCR 511, 2015 SCC 56 (CanLII)"
csc-scc,2015scc55,R. v. Moriarity,"[2015] 3 SCR 485, 2015 SCC 55 (CanLII)"
csc-scc,2015scc54,R. v. Hecimovic,"[2015] 3 SCR 483, 2015 SCC 54 (CanLII)"
csc-scc,2015scc53,Saskatchewan (Attorney General) v. Lemare Lake Logging Ltd.,"[2015] 3 SCR 419, 2015 SCC 53 (CanLII)"
csc-scc,2015scc52,407 ETR Concession Co. v. Canada (Superintendent of Bankruptcy),"[2015] 3 SCR 397, 2015 SCC 52 (CanLII)"
csc-scc,2015scc51,Alberta (Attorney General) v. Moloney,"[2015] 3 SCR 327, 2015 SCC 51 (CanLII)"
csc-scc,2015scc50,R. v. Singh Riar,"[2015] 3 SCR 325, 2015 SCC 50 (CanLII)"
csc-scc,2015canlii71798,R. v. Neville,"[2015] 3 SCR 323, 2015 SCC 49 (CanLII)"
csc-scc,2015canlii66363,R. v. M.J.B.,"[2015] 3 SCR 321, 2015 SCC 48 (CanLII)"
csc-scc,2015scc47,Wilson v. British Columbia (Superintendent of Motor Vehicles),"[2015] 3 SCR 300, 2015 SCC 47 (CanLII)"
csc-scc,2015scc46,Goodwin v. British Columbia (Superintendent of Motor Vehicles),"[2015] 3 SCR 250, 2015 SCC 46 (CanLII)"
csc-scc,2015canlii65222,R. v. Riesberry,2015 CanLII 65222 (SCC)
csc-scc,2015scc66,S.H. v. Quebec (Emploi et Solidarité sociale),2015 SCC 66 (CanLII)
csc-scc,2015scc45,ATCO Gas and Pipelines Ltd. v. Alberta (Utilities Commission),"[2015] 3 SCR 219, 2015 SCC 45 (CanLII)"
csc-scc,2015scc44,Ontario (Energy Board) v. Ontario Power Generation Inc.,"[2015] 3 SCR 147, 2015 SCC 44 (CanLII)"
csc-scc,2015scc43,Stuart Olson Dominion Construction Ltd. v. Structal Heavy Steel,"[2015] 3 SCR 127, 2015 SCC 43 (CanLII)"
csc-scc,2015scc42,Chevron Corp. v. Yaiguaje,"[2015] 3 SCR 69, 2015 SCC 42 (CanLII)"
csc-scc,2015scc41,Guindon v. Canada,"[2015] 3 SCR 3, 2015 SCC 41 (CanLII)"
csc-scc,2015scc40,R. v. Simpson,"[2015] 2 SCR 827, 2015 SCC 40 (CanLII)"
csc-scc,2015scc39,Quebec (Commission des droits de la personne et des droits de la jeunesse) v. Bombardier Inc. (Bombardier Aerospace Training Center),"[2015] 2 SCR 789, 2015 SCC 39 (CanLII)"
csc-scc,2015scc38,R. v. Rodgerson,"[2015] 2 SCR 760, 2015 SCC 38 (CanLII)"
csc-scc,2015scc37,Strickland v. Canada (Attorney General),"[2015] 2 SCR 713, 2015 SCC 37 (CanLII)"
csc-scc,2015scc36,Société en commandite Place Mullins v. Services immobiliers Diane Bisson inc.,"[2015] 2 SCR 699, 2015 SCC 36 (CanLII)"
csc-scc,2015scc35,Hinse v. Canada (Attorney General),"[2015] 2 SCR 621, 2015 SCC 35 (CanLII)"
csc-scc,2015scc34,R. v. Smith,"[2015] 2 SCR 602, 2015 SCC 34 (CanLII)"
csc-scc,2015scc33,R. v. Tatton,"[2015] 2 SCR 574, 2015 SCC 33 (CanLII)"
csc-scc,2015scc32,Caplin v. Canada (Justice),"[2015] 2 SCR 570, 2015 SCC 32 (CanLII)"
csc-scc,2015scc31,Canada (Attorney General) v. Barnaby,"[2015] 2 SCR 563, 2015 SCC 31 (CanLII)"
csc-scc,2015scc30,Kahkewistahaw First Nation v. Taypotat,"[2015] 2 SCR 548, 2015 SCC 30 (CanLII)"
csc-scc,2015scc29,R. v. Barabash,"[2015] 2 SCR 522, 2015 SCC 29 (CanLII)"
csc-scc,2015scc28,R. v. Kokopenace,"[2015] 2 SCR 398, 2015 SCC 28 (CanLII)"
csc-scc,2015scc27,R. v. St-Cloud,"[2015] 2 SCR 328, 2015 SCC 27 (CanLII)"
csc-scc,2015scc26,Bowden Institution v. Khadr,"[2015] 2 SCR 325, 2015 SCC 26 (CanLII)"
csc-scc,2015scc25,"Yukon Francophone School Board, Education Area #23 v. Yukon (Attorney General)","[2015] 2 SCR 282, 2015 SCC 25 (CanLII)"
csc-scc,2015scc24,Henry v. British Columbia (Attorney General),"[2015] 2 SCR 214, 2015 SCC 24 (CanLII)"
csc-scc,2015scc23,White Burgess Langille Inman v. Abbott and Haliburton Co.,"[2015] 2 SCR 182, 2015 SCC 23 (CanLII)"
csc-scc,2015canlii20665,Canada (Attorney General) v. Barnaby,2015 CanLII 20665 (SCC)
csc-scc,2015canlii20664,Caplin v. Canada (Minister of Justice),2015 CanLII 20664 (SCC)
csc-scc,2015scc22,Quebec (Attorney General) v. Canada (Attorney General),"[2015] 2 SCR 179, 2015 SCC 22 (CanLII)"
csc-scc,2015scc21,Association des parents de l’école Rose‑des‑vents v. British Columbia (Education),"[2015] 2 SCR 139, 2015 SCC 21 (CanLII)"
csc-scc,2015scc20,Sanofi-Aventis v. Apotex Inc.,"[2015] 2 SCR 136, 2015 SCC 20 (CanLII)"
csc-scc,2015scc19,Zurich Insurance Co. v. Chubb Insurance Co. of Canada,"[2015] 2 SCR 134, 2015 SCC 19 (CanLII)"
csc-scc,2015scc18,Theratechnologies Inc. v. 121851 Canada Inc.,"[2015] 2 SCR 106, 2015 SCC 18 (CanLII)"
csc-scc,2015scc17,Carey v. Laiken,"[2015] 2 SCR 79, 2015 SCC 17 (CanLII)"
csc-scc,2015scc16,Mouvement laïque québécois v. Saguenay (City),"[2015] 2 SCR 3, 2015 SCC 16 (CanLII)"
csc-scc,2015scc15,R. v. Nur,"[2015] 1 SCR 773, 2015 SCC 15 (CanLII)"
csc-scc,2015scc14,Quebec (Attorney General) v. Canada (Attorney General),"[2015] 1 SCR 693, 2015 SCC 14 (CanLII)"
csc-scc,2015scc13,R. v. Sanghera,"[2015] 1 SCR 691, 2015 SCC 13 (CanLII)"
csc-scc,2015scc12,Loyola High School v. Quebec (Attorney General),"[2015] 1 SCR 613, 2015 SCC 12 (CanLII)"
csc-scc,2015scc11,R. v. Araya,"[2015] 1 SCR 581, 2015 SCC 11 (CanLII)"
csc-scc,2015scc10,Potter v. New Brunswick Legal Aid Services Commission,"[2015] 1 SCR 500, 2015 SCC 10 (CanLII)"
csc-scc,2015scc9,R. v. Grant,"[2015] 1 SCR 475, 2015 SCC 9 (CanLII)"
csc-scc,2015scc8,R. v. Perrone,"[2015] 1 SCR 473, 2015 SCC 8 (CanLII)"
csc-scc,2015scc7,Canada (Attorney General) v. Federation of Law Societies of Canada,"[2015] 1 SCR 401, 2015 SCC 7 (CanLII)"
csc-scc,2015scc6,R. v. Goleski,"[2015] 1 SCR 399, 2015 SCC 6 (CanLII)"
csc-scc,2015scc5,Carter v. Canada (Attorney General),"[2015] 1 SCR 331, 2015 SCC 5 (CanLII)"
csc-scc,2015scc4,Saskatchewan Federation of Labour v. Saskatchewan,"[2015] 1 SCR 245, 2015 SCC 4 (CanLII)"
csc-scc,2015scc3,Tervita Corp. v. Canada (Commissioner of Competition),"[2015] 1 SCR 161, 2015 SCC 3 (CanLII)"
csc-scc,2015scc2,Meredith v. Canada (Attorney General),"[2015] 1 SCR 125, 2015 SCC 2 (CanLII)"
csc-scc,2015scc1,Mounted Police Association of Ontario v. Canada (Attorney General),"[2015] 1 SCR 3, 2015 SCC 1 (CanLII)"
csc-scc,2014scc76,R. v. MacLeod,"[2014] 3 SCR 619, 2014 SCC 76 (CanLII)"
csc-scc,2014scc77,R. v. Fearon,"[2014] 3 SCR 621, 2014 SCC 77 (CanLII)"
csc-scc,2014scc75,R. v. Wilcox,"[2014] 3 SCR 616, 2014 SCC 75 (CanLII)"
csc-scc,2014scc74,R. v. Day,"[2014] 3 SCR 614, 2014 SCC 74 (CanLII)"
